FUNCTIONALITY TEST
TEST: 0
TestNumber, InputArrayLength, Algo1Distance, Algo2Distance, PASS/FAIL
0,10,2000,2000,
1,10,2000,2000,
2,10,2000,2000,
3,10,2000,2000,
4,10,2000,2000,
5,10,2000,2000,
6,10,2000,2000,
7,10,2000,2000,
8,10,2000,2000,
9,10,2000,2000,
TEST: 1
TestNumber, InputArrayLength, Algo1Distance, Algo2Distance, PASS/FAIL
0,10,0,0,
1,10,0,0,
2,10,0,0,
3,10,0,0,
4,10,0,0,
5,10,0,0,
6,10,0,0,
7,10,0,0,
8,10,0,0,
9,10,0,0,
TEST: 2
TestNumber, InputArrayLength, Algo1Distance, Algo2Distance, PASS/FAIL
0,1,2147483647,2147483647,
1,1,2147483647,2147483647,
2,1,2147483647,2147483647,
3,1,2147483647,2147483647,
4,1,2147483647,2147483647,
5,1,2147483647,2147483647,
6,1,2147483647,2147483647,
7,1,2147483647,2147483647,
8,1,2147483647,2147483647,
9,1,2147483647,2147483647,
TEST: 3
TestNumber, InputArrayLength, Algo1Distance, Algo2Distance, PASS/FAIL
0,1999,1,1,
1,1999,1,1,
2,1999,1,1,
3,1999,1,1,
4,1999,1,1,
5,1999,1,1,
6,1999,1,1,
7,1999,1,1,
8,1999,1,1,
9,1999,1,1,
TEST: 4
TestNumber, InputArrayLength, Algo1Distance, Algo2Distance, PASS/FAIL
0,0,2147483647,2147483647,
1,0,2147483647,2147483647,
2,0,2147483647,2147483647,
3,0,2147483647,2147483647,
4,0,2147483647,2147483647,
5,0,2147483647,2147483647,
6,0,2147483647,2147483647,
7,0,2147483647,2147483647,
8,0,2147483647,2147483647,
9,0,2147483647,2147483647,
TEST: 5
TestNumber, InputArrayLength, Algo1Distance, Algo2Distance, PASS/FAIL
0,0,2147483647,2147483647,
1,2,1,1,
2,4,1,1,
3,6,1,1,
4,8,1,1,
5,10,1,1,
6,12,1,1,
7,14,1,1,
8,16,1,1,
9,18,1,1,
TEST: 6
TestNumber, InputArrayLength, Algo1Distance, Algo2Distance, PASS/FAIL
0,1,2147483647,2147483647,
1,3,1,1,
2,5,1,1,
3,7,1,1,
4,9,1,1,
5,11,1,1,
6,13,1,1,
7,15,1,1,
8,17,1,1,
9,19,1,1,
