OPERATION TEST,,,,,,,
TEST: 12,,,,,,,
TestNumber, InputArrayLength, Algo1Distance, Algo2Distance, Algo1NumOps, Algo2NumOps,,
0,501,0,0,0,0,,
1,501,0,0,250500,125250,,
2,501,0,0,501000,250500,,
3,501,0,0,751500,375750,,
4,501,0,0,1002000,501000,,
5,501,0,0,1252500,626250,,
6,501,0,0,1503000,751500,,
7,501,2,2,1753500,876750,,
8,501,0,0,2004000,1002000,,
9,501,1,1,2254500,1127250,,
10,501,0,0,2505000,1252500,,
11,501,0,0,2755500,1377750,,
12,501,0,0,3006000,1503000,,
13,501,0,0,3256500,1628250,,
14,501,0,0,3507000,1753500,,
15,501,0,0,3757500,1878750,,
16,501,0,0,4008000,2004000,,
17,501,1,1,4258500,2129250,,
18,501,0,0,4509000,2254500,,
19,501,0,0,4759500,2379750,2379750,1189875
20,1002,0,0,5010000,2505000,,
21,1002,0,0,6013002,3006501,,
22,1002,0,0,7016004,3508002,,
23,1002,0,0,8019006,4009503,,
24,1002,0,0,9022008,4511004,,
25,1002,0,0,10025010,5012505,,
26,1002,0,0,11028012,5514006,,
27,1002,0,0,12031014,6015507,,
28,1002,0,0,13034016,6517008,,
29,1002,0,0,14037018,7018509,,
30,1002,0,0,15040020,7520010,,
31,1002,0,0,16043022,8021511,,
32,1002,0,0,17046024,8523012,,
33,1002,0,0,18049026,9024513,,
34,1002,0,0,19052028,9526014,,
35,1002,0,0,20055030,10027515,,
36,1002,0,0,21058032,10529016,,
37,1002,0,0,22061034,11030517,,
38,1002,0,0,23064036,11532018,,
39,1002,0,0,24067038,12033519,14538519,7269259.5
40,1503,0,0,25070040,12535020,,
41,1503,0,0,27327546,13663773,,
42,1503,0,0,29585052,14792526,,
43,1503,0,0,31842558,15921279,,
44,1503,0,0,34100064,17050032,,
45,1503,0,0,36357570,18178785,,
46,1503,0,0,38615076,19307538,,
47,1503,0,0,40872582,20436291,,
48,1503,0,0,43130088,21565044,,
49,1503,0,0,45387594,22693797,,
50,1503,0,0,47645100,23822550,,
51,1503,0,0,49902606,24951303,,
52,1503,0,0,52160112,26080056,,
53,1503,0,0,54417618,27208809,,
54,1503,0,0,56675124,28337562,,
55,1503,0,0,58932630,29466315,,
56,1503,0,0,61190136,30595068,,
57,1503,0,0,63447642,31723821,,
58,1503,0,0,65705148,32852574,,
59,1503,0,0,67962654,33981327,46516347,23258173.5
60,2004,0,0,70220160,35110080,,
61,2004,0,0,74234172,37117086,,
62,2004,0,0,78248184,39124092,,
63,2004,0,0,82262196,41131098,,
64,2004,0,0,86276208,43138104,,
65,2004,0,0,90290220,45145110,,
66,2004,0,0,94304232,47152116,,
67,2004,0,0,98318244,49159122,,
68,2004,0,0,102332256,51166128,,
69,2004,0,0,106346268,53173134,,
70,2004,0,0,110360280,55180140,,
